杨洋的未婚妻521,慈溪,挺好 刺激好看,52018-12-11 14:32:27
@行走的胖子,东莞,法克炒鸡好看。,52018-12-11 14:32:21
AQv652491805,朝阳,好看。。。。,52018-12-11 14:32:19
FnA97376605,张家港,海王和海后都超酷，画面很棒，值得一看，故事完整,52018-12-11 14:31:50
guyueyue87,南通,好赞 画面好美 好好看,52018-12-11 14:31:01
七八拾个121,昆明,酷似黄金圣斗士，哈哈哈哈,52018-12-11 14:30:51
辉☆,中卫,震撼的效果，各种超人的聚合，👍,52018-12-11 14:30:39
WOSHIKANGZAI,武汉,很棒，很棒，很棒！！！,52018-12-11 14:30:22
gnI391541225,重庆,挺好看的，特效震撼，让我想起了阿凡达有过之而无不及！DC加油，温导确实厉害从未失望过！,52018-12-11 14:30:14
鹿港迷彩男,常州,还可以吧，有些情节是不错的，但是有些就显得有些冗长，总之还算不错,3.52018-12-11 14:27:21
画画周,大连,可能期待太高了哦，总体还是不错的，但是还是没达到我理想的状态,42018-12-11 14:26:45
kOd559497267,无锡,电影不错，其实就给大数的欧美大片差不多，电影里面特效不错，但是吧电影院的效果不太好，3d不太清楚,42018-12-11 14:26:41
Zz82145,咸宁,我觉得作为一部商业电影来说，这部电影很成功，无论是特效还是剧情，已经算得上是一部佳作了。说特效烂的，你去做一个高级的来。说剧情差的，你去写一个小说出来。萝卜白菜各有所爱，不喜欢就不喜欢，但不要贬低电影在其他喜欢的观众的心中地位。,4.52018-12-11 14:26:31
aas161717498,长沙,一般，但视觉冲击可以。6分,32018-12-11 14:26:27
倪坤哥,大连,，完美结局特效很好，中国导演就很棒，很完美，奈斯,52018-12-11 14:26:19
火神之子(=^_^=),大连,电影效果不错，是个好题材。,52018-12-11 14:26:10
一册,北京,好看，还想在看一次！！！！,52018-12-11 14:25:52
Xji736506126,南京,很好看，很不错,52018-12-11 14:25:51
Bunny,杭州,好看好看，精彩精彩,52018-12-11 14:25:50
SUV959810763,大连,中国公民的权利权益不能被侵犯。,42018-12-11 14:25:32
星星样子,成都,画面很好，剧情还是单薄了点,4.52018-12-11 14:25:08
